Country	Fertility	GDP
Afghanistan	4.9	664.765
Albania	1.771	4460.341
Algeria	2.795	5360.701
Angola	5.863	5783.367
AntiguaAndBarbuda	2.089	13342.085
Argentina	2.175	14715.180
Armenia	1.74	3504.767
Australia	1.921	67463.022
Austria	1.44	50510.712
Azerbaijan	2	7811.621
Bahamas	1.888	22312.083
Bahrain	2.075	24689.106
Bangladesh	2.177	957.824
Belarus	1.62	7575.482
Belgium	1.79	46929.635
Belize	2.676	4893.927
Benin	4.845	804.692
Bhutan	2.232	2362.582
Bolivia	3.221	2867.640
BosniaAndHerzegovina	1.283	4661.764
Botswana	2.619	7315.019
Brazil	1.801	11208.083
BruneiDarussalam	1.994	38563.315
Bulgaria	1.5	7498.831
BurkinaFaso	5.605	760.853
Burundi	6.033	267.109
CaboVerde	2.292	3767.115
Cambodia	2.861	1006.840
Cameroon	4.78	1328.640
Canada	1.61	51964.330
CentralAfricanRepublic	4.365	333.197
Chad	6.263	1053.663
Chile	1.82	15732.314
China	1.668	6807.431
Colombia	2.286	7831.215
Comoros	4.714	814.957
CongoDemRep.	5.933	484.211
CongoRep.	4.969	3167.045
CostaRica	1.795	10184.606
CoteD'Ivoire	4.866	1528.938
Croatia	1.51	13597.921
Cyprus	1.461	25248.981
CzechRepublic	1.45	19858.343
Denmark	1.73	59818.632
Djibouti	3.387	1668.337
DominicanRepublic	2.484	5878.997
Ecuador	2.559	6002.885
Egypt	2.77	3314.463
ElSalvador	2.184	3826.082
EquatorialGuinea	4.845	20581.606
Eritrea	4.696	543.822
Estonia	1.56	18877.330
Ethiopia	4.519	505.046
Fiji	2.588	4375.406
Finland	1.8	49150.577
France	2.01	42560.414
Gabon	4.087	11571.083
Gambia	5.751	488.566
Georgia	1.817	3596.908
Germany	1.38	46251.382
Ghana	3.857	1858.243
Greece	1.29	21965.927
Grenada	2.17	7890.513
Guatemala	3.783	3477.890
Guinea	4.915	523.119
GuineaBissau	4.927	563.753
Guyana	2.546	3739.470
Haiti	3.148	819.904
Honduras	3.001	2290.781
HongKong	1.124	38123.522
Hungary	1.34	13485.472
Iceland	2.04	47349.483
India	2.479	1497.550
Indonesia	2.338	3475.250
Iran	1.92	4763.303
Iraq	4.026	6862.496
Ireland	2.01	50478.410
Israel	3.03	36050.698
Italy	1.43	35685.599
Jamaica	2.26	5290.486
Japan	1.43	38633.708
Jordan	3.244	5213.390
Kazakhstan	2.64	13611.537
Kenya	4.382	1245.512
Kiribati	2.952	1650.707
KoreaRep.	1.187	25976.953
Kosovo	2.16	3877.171
Kuwait	2.6	52197.341
KyrgyzRepublic	3.2	1263.428
Laos	3.02	1660.706
Latvia	1.44	15381.084
Lebanon	1.495	9928.038
Lesotho	3.038	1125.586
Liberia	4.792	454.337
Libya	2.356	11964.731
Lithuania	1.6	15529.682
Luxembourg	1.57	110664.840
Macao	1.083	91376.023
Macedonia	1.431	4838.462
Madagascar	4.468	462.969
Malawi	5.389	226.455
Malaysia	1.964	10538.058
Maldives	2.256	6665.768
Mali	6.847	715.134
Malta	1.43	22774.960
Mauritania	4.67	1068.975
Mauritius	1.44	9477.792
Mexico	2.185	10307.283
Micronesia	3.294	3054.068
Moldova	1.456	2239.559
Mongolia	2.436	4056.398
Montenegro	1.666	7106.862
Morocco	2.735	3092.607
Mozambique	5.188	605.034
Namibia	3.051	5693.129
Nepal	2.3	694.105
Netherlands	1.72	50792.514
NewZealand	1.95	41824.323
Nicaragua	2.498	1851.106
Niger	7.561	415.417
Nigeria	5.976	3005.514
Norway	1.85	100898.361
Oman	2.853	21929.015
Pakistan	3.185	1275.302
Panama	2.466	11036.807
PapuaNewGuinea	3.781	2105.270
Paraguay	2.864	4264.651
Peru	2.417	6661.591
Philippines	3.043	2765.085
Poland	1.3	13653.722
Portugal	1.28	21738.292
PuertoRico	1.636	28528.997
Qatar	2.019	93714.063
Romania	1.53	9490.754
Russia	1.7	14611.701
Rwanda	4.508	638.666
Samoa	4.147	4212.363
SaoTomeAndPrincipe	4.075	1609.823
SaudiArabia	2.644	25961.808
Senegal	4.934	1046.586
Serbia	1.45	6353.826
Seychelles	2.4	16185.899
SierraLeone	4.705	678.961
Singapore	1.19	55182.483
SlovakRepublic	1.34	18049.183
Slovenia	1.58	23295.339
SolomonIslands	4.031	1953.557
SouthAfrica	2.387	6886.290
SouthSudan	4.92	1044.995
Spain	1.32	29882.136
SriLanka	2.339	3279.891
StLucia	1.912	7328.371
StVincentAndTheGrenadines	1.997	6485.679
Sudan	4.42	1753.381
Suriname	2.268	9825.744
Swaziland	3.334	3034.223
Sweden	1.91	60380.948
Switzerland	1.52	84748.365
Tajikistan	3.815	1036.583
Tanzania	5.214	912.700
Thailand	1.399	5778.977
Togo	4.639	636.436
Tonga	3.767	4426.945
TrinidadAndTobago	1.797	18372.904
Tunisia	2.25	4316.686
Turkey	2.041	10971.656
Turkmenistan	2.326	7986.699
Uganda	5.867	657.371
Ukraine	1.506	3900.465
UnitedArabEmirates	1.801	43048.850
UnitedKingdom	1.92	41781.149
UnitedStates	1.8695	53041.981
Uruguay	2.046	16350.728
Uzbekistan	2.2	1877.965
Vanuatu	3.382	3276.734
Venezuela	2.39	14414.754
Vietnam	1.743	1910.513
Yemen	4.075	1473.100
Zambia	5.687	1844.799
Zimbabwe	3.486	953.381
